,period,c_a_estimated,c_a_calculated,c_s_estimated,c_s_calculated
0,1.0,0.7390360998084939,1.5993971848371737,0.5,0.931215123794522
1,2.0,0.7390360998084939,2.0973752152959118,0.5,1.068984123366757
2,3.0,0.7390360998084939,2.0591279179712285,0.5,1.232187474031683
3,4.0,0.7390360998084939,2.104347055363713,0.5,1.5209211962354414
4,5.0,0.7390360998084939,2.4954515468528276,0.5,1.0006372576121565
5,6.0,0.7390360998084939,2.2194920699387137,0.5,1.0498620262207103
6,7.0,0.7390360998084939,1.817892503634532,0.5,1.0241557337975744
7,8.0,0.7390360998084939,3.0051940553841265,0.5,1.14128661824768
8,9.0,0.7390360998084939,1.7122150374335405,0.5,1.142645266939388
9,10.0,0.7390360998084939,1.987794928957688,0.5,0.9742171689905526
10,11.0,0.7390360998084939,1.2142302420650302,0.5,0.5584928057164417
11,12.0,0.7390360998084939,1.4993689611766998,0.5,1.0454144767404618
12,13.0,0.7390360998084939,1.769964632608338,0.5,1.2319179344600595
13,14.0,0.7390360998084939,1.269272731572959,0.5,0.7086008584226016
14,15.0,0.7390360998084939,2.0426078470893096,0.5,1.232821967760064
15,16.0,0.7390360998084939,2.4673243249862753,0.5,1.214192339941368
16,17.0,0.7390360998084939,2.253960660408669,0.5,1.4165792968101105
17,18.0,0.7390360998084939,2.338897128632625,0.5,1.3360517937741487
18,19.0,0.7390360998084939,1.9498445122657573,0.5,1.2955638074361067
19,20.0,0.7390360998084939,2.2101252374108755,0.5,1.4235552222560006
20,21.0,0.7390360998084939,2.0640179604277256,0.5,1.5839161842243747
21,22.0,0.7390360998084939,2.5988744953489,0.5,1.2973507592751838
22,23.0,0.7390360998084939,1.9277232740319696,0.5,1.176772862027823
23,24.0,0.7390360998084939,2.123910784931895,0.5,1.3388253401809118
24,25.0,0.7390360998084939,1.3329386293387933,0.5,0.6692776896733234
25,26.0,0.7475012791549805,1.7273085636363152,0.5,1.313380230631785
26,27.0,0.7390360998084939,3.130340268565669,0.5,1.2299039245645205
27,28.0,0.7345972004095593,1.5049518100055532,0.5,1.3295471947273712
28,29.0,0.7390360998084939,1.365395453775654,0.5,1.1762653948065684
29,30.0,0.7390360998084939,2.646164406828984,0.5,1.2364315819268032
30,31.0,0.7390360998084939,1.6601512807006742,0.5,0.940332696003547
31,32.0,0.7390360998084939,2.440833958736794,0.5,1.6337696759911584
32,33.0,0.7390360998084939,3.205074584958194,0.5,1.186090557816874
33,34.0,0.7390360998084939,1.8407485691548642,0.5,1.040288495565606
34,35.0,0.7390360998084939,1.7526509789513423,0.5,0.7545244094316274
35,36.0,0.7390360998084939,0.9617815572107887,0.5,0.6616545680456486
36,37.0,0.7390360998084939,1.5387878190567925,0.5,1.2238047944014854
37,38.0,0.7390360998084939,2.06271913797814,0.5,0.9876136329132996
