,period,c_a_estimated,c_a_calculated,c_s_estimated,c_s_calculated
0,1.0,1.3492217496419794,1.3177713494385719,0.9178881532782545,0.8861979228031283
1,2.0,3.8770440625596136,2.2352476861242216,2.9536186376366635,0.9729305330171236
2,3.0,4.588221609050233,2.2046389417967656,3.4300111225869014,1.3762705353802056
3,4.0,4.216878283258377,2.0695812757794596,3.1632926216796946,0.9365752241346028
4,5.0,5.004365755343084,2.1366965149543584,3.6473159352669438,1.1273691347281172
5,6.0,4.5559460712221345,1.7352750993638961,3.3127262336340806,1.156328350411562
6,7.0,4.376496440631045,1.872535331639071,3.2232783474695688,0.9915502129089244
7,8.0,5.824715235259407,2.1027265320503603,4.212456177538855,1.1650576005825437
8,9.0,7.032359678690364,2.0322054494505344,4.894464860122747,0.9842809960506507
9,10.0,4.660419437775906,1.7754334794174085,3.235663579979853,1.0298150889173356
10,11.0,5.594539936834946,2.027490146589163,3.978035692776889,0.8482165312440388
11,12.0,6.265784239233498,1.7795560177143273,4.553185331684723,1.157420965935276
12,13.0,6.17738296495629,1.9561894726842022,4.5966227566925895,0.902931070364692
13,14.0,9.4764611462284,2.2509314069520685,6.75300017066239,1.1657594715932935
14,15.0,8.639500109080245,2.3188198159689124,6.029430622421709,1.3779445704366413
15,16.0,5.132920230679023,1.4776085839163475,3.753173730590584,0.8640510460304114
16,17.0,5.9139049046607255,2.4772276929943424,4.294431251510676,0.9167817303699449
17,18.0,9.941938288592086,2.9356214755621513,7.079206143519077,1.214757733663287
18,19.0,8.304552442239968,1.940561498745815,5.92188326778674,1.1662160650299798
19,20.0,5.721458769714503,2.27222017337072,4.389674865630908,1.2601035594733563
20,21.0,5.081904014548047,1.6632989518642127,3.9272423324864274,1.107530575485451
21,22.0,7.665843898533757,2.59268581354907,5.694558606359657,1.043074356866979
22,23.0,6.745601192231167,1.787891974525741,5.058334187437424,1.2874214612717239
23,24.0,3.31323476666284,1.8226250708404075,2.6514745047179793,1.0002379208182013
24,25.0,4.046938746720263,2.7805567437976357,3.1370500525737905,1.1331990468268411
25,26.0,4.5046217445612315,1.703563561961951,3.301280369370168,0.9339950032364054
26,27.0,7.761807490323183,2.1281172586702017,5.5354027606009,1.3059406402561384
27,28.0,9.00452831427556,1.6229008247157506,6.639857116156662,0.9217502554211051
28,29.0,3.638556635058077,1.6521117594917631,2.813428389892284,1.4269892750775002
29,30.0,6.364877315913444,2.581635753928038,4.557530107968532,1.1137656365072257
30,31.0,6.766976113654068,1.9113729268096034,4.8794499634515995,1.241479803217441
