node,shard
2,273
2,460
2,422
2,577
2,314
2,390
2,432
2,387
2,411
2,565
2,530
2,84
2,450
2,178
2,195
2,546
2,482
2,4
2,230
2,253
2,15
2,74
2,307
2,357
2,521
2,393
2,371
2,256
2,578
2,419
2,106
2,305
2,325
2,353
2,204
2,216
2,458
2,594
2,72
2,150
2,534
2,101
2,131
2,66
2,297
2,285
2,360
2,5
2,483
2,40
2,424
2,310
2,122
2,557
2,442
2,6
1,278
1,591
1,164
1,10
1,311
1,113
1,561
1,65
1,254
1,271
1,223
1,494
1,525
1,355
1,29
1,512
1,239
1,469
1,89
1,470
1,398
1,134
1,358
1,384
1,504
1,81
1,221
1,94
1,438
1,531
1,549
1,67
1,141
1,558
1,202
1,380
1,262
1,110
1,474
1,291
1,567
1,38
1,184
1,465
1,182
1,406
1,309
1,59
1,215
1,394
1,108
1,114
1,25
1,437
1,573
1,599
1,37
1,212
1,333
1,529
1,306
1,52
3,452
3,514
3,359
3,234
3,523
3,231
3,233
3,455
3,98
3,227
3,54
3,575
3,63
3,392
3,596
3,68
3,552
3,119
3,400
3,427
3,533
3,77
3,283
3,130
3,51
3,86
3,143
3,78
3,362
3,498
3,308
3,340
3,522
3,218
3,473
3,57
3,247
3,235
3,177
3,443
3,274
3,264
3,41
3,282
3,36
3,320
3,2
3,598
3,100
3,459
3,147
3,453
3,532
3,563
3,16
3,11
3,385
3,73
3,501
3,487
3,454
3,366
3,279
3,145
3,332
3,435
3,50
3,336
3,284
3,312
3,201
4,173
4,289
4,116
4,28
4,123
4,316
4,428
4,111
4,148
4,288
4,242
4,197
4,510
4,581
4,595
4,139
4,554
4,471
4,322
4,349
4,317
4,492
4,56
4,49
4,120
4,163
4,370
4,467
4,496
4,248
4,572
4,313
4,19
4,44
4,403
4,142
4,23
4,193
4,261
4,550
4,583
4,12
4,179
4,132
4,497
4,157
4,97
4,188
4,425
4,303
4,468
4,268
4,402
4,420
4,560
4,238
4,187
4,154
4,166
4,189
4,102
4,352
4,479
4,199
4,405
4,232
4,391
4,515
4,95
4,191
4,83
4,396
4,436
4,499
4,329
4,91
4,500
4,243
4,354
4,90
4,506
4,410
4,161
4,43
4,543
4,240
4,513
4,539
4,503
4,421
4,3
6,46
6,415
6,192
6,156
6,535
6,429
6,290
6,430
6,198
6,456
6,211
6,250
6,388
6,579
6,71
6,449
6,337
6,404
6,175
6,125
6,180
6,547
6,138
6,451
6,369
6,524
6,447
6,372
6,444
6,538
6,520
6,127
6,45
6,318
6,590
6,517
6,511
6,60
6,587
6,146
6,196
6,339
6,321
6,205
6,85
6,217
6,537
6,263
6,272
6,476
6,158
6,257
6,345
6,219
6,17
6,1
6,495
6,488
6,33
6,162
6,361
6,159
6,570
6,489
6,323
6,294
6,382
6,328
6,582
6,302
6,423
6,486
6,260
6,593
6,386
6,129
6,266
6,389
6,477
6,135
6,588
6,519
6,27
6,7
6,466
6,245
6,229
6,133
6,220
6,61
6,365
6,416
6,462
6,225
6,31
6,414
6,13
6,96
6,207
6,409
6,194
6,270
6,20
6,374
6,526
6,343
6,555
6,580
6,80
6,377
6,103
6,542
6,330
6,562
6,124
6,210
5,300
5,14
5,183
5,249
5,509
5,42
5,105
5,589
5,172
5,208
5,185
5,376
5,76
5,137
5,434
5,375
5,214
5,267
5,99
5,64
5,186
5,47
5,236
5,293
5,368
5,367
5,58
5,252
5,246
5,70
5,334
5,568
5,237
5,121
5,34
5,222
5,363
5,485
5,446
5,527
5,30
5,92
5,381
5,280
5,62
5,82
5,275
5,551
5,104
5,155
5,24
5,327
5,292
5,344
5,505
5,296
5,342
5,378
5,439
5,55
5,395
5,397
5,399
5,169
5,566
5,18
5,502
5,69
5,536
5,281
5,301
5,151
5,140
5,545
5,373
5,200
5,259
5,326
5,348
5,516
5,109
5,597
5,407
5,484
5,569
5,364
5,584
5,22
5,481
5,600
5,541
5,213
5,190
5,564
5,324
5,401
5,507
5,441
5,181
5,167
5,586
5,79
5,118
5,107
5,445
5,295
5,160
5,228
5,126
5,9
5,304
5,48
5,93
5,226
5,209
5,241
5,88
5,528
5,152
5,544
5,149
5,39
5,490
5,335
5,356
5,461
5,412
5,571
5,203
5,472
5,117
5,350
5,255
5,440
5,128
5,574
5,75
5,338
5,347
5,26
5,165
5,136
5,592
5,87
5,315
5,277
5,35
5,244
5,478
5,457
5,383
5,379
5,576
5,548
5,480
5,174
5,286
5,115
5,463
5,351
5,417
5,553
5,491
5,341
5,171
5,508
5,585
5,168
5,408
5,276
5,331
5,206
5,299
5,346
5,258
5,559
5,176
5,269
5,251
5,418
5,298
5,53
5,556
5,8
5,170
5,448
5,265
5,32
5,493
5,224
5,518
5,431
5,21
5,112
5,475
5,319
5,153
5,540
5,433
5,144
5,464
5,287
5,413
5,426
