,period,c_a_estimated,c_a_calculated,c_s_estimated,c_s_calculated
0,1.0,1.2677933112569877,1.3336851022747676,0.8944734160386584,1.0417976391644734
1,2.0,4.0458763342853,2.293206459081764,2.863068707348535,1.0746744150088625
2,3.0,4.748204422176712,2.1585229027256267,3.314449492230834,1.224021425058808
3,4.0,5.067824190466861,2.103805907900185,3.639184352324403,1.0066577993378096
4,5.0,5.601087536442627,2.057302192764207,4.025720420103675,1.1834514060462846
5,6.0,4.869215931940104,1.6315827403041705,3.3486970861070944,1.105761074143815
6,7.0,5.728783293442038,1.9876914561537984,4.004732579055952,1.3867133181545948
7,8.0,6.036791204262975,2.1556662912178766,4.329219104359953,1.2587194010180696
8,9.0,6.231822733541924,2.0307566002575475,4.452987179773177,1.0386104500555482
9,10.0,4.468575115742138,1.8739127881505995,3.2389073583387926,1.189044235063827
10,11.0,5.759734766984181,1.9825331601842302,4.112813109846167,0.9378539968429558
11,12.0,6.445619625821048,1.9035887392983624,4.580161704571495,1.236047580102522
12,13.0,6.495639820141736,2.1345830414122964,4.617021333664182,1.0812203323765268
13,14.0,9.658673304972256,2.4105865964320397,6.84402493582455,1.245920577287566
14,15.0,8.844973663611059,2.26697371141319,6.305203634323501,1.3005930450359298
15,16.0,4.876447884116392,1.47121537139666,3.482932851158265,1.0204698165947945
16,17.0,6.095375304833481,2.4760954725683937,4.324100960690825,1.104385491889655
17,18.0,9.615938744836855,2.93870220033676,6.737065531918219,1.1480249924580426
18,19.0,8.389275939722104,1.9374327981480317,5.874834915873869,1.0737944399909907
19,20.0,5.978083962542082,2.2914087793353897,4.212613863044499,1.2826374981008017
20,21.0,6.400302252029827,1.9198565294196903,4.328676304953838,1.2138828546256712
21,22.0,8.332626658989126,2.5618509765084223,5.680784781576372,1.1878802670849327
22,23.0,7.557545970350165,1.9659030121163517,5.236207939841646,1.3190693747888524
23,24.0,3.964543368423111,1.8698511561724187,2.791509210685595,1.1704290108612112
24,25.0,4.313858377602625,2.8645718025764544,3.0593463265568115,1.139296889536317
25,26.0,4.901685715902506,1.6388491928630708,3.499909022421536,0.9761734980598776
26,27.0,8.31941493908967,2.2481166522161344,5.877407016866562,1.3498857843724699
27,28.0,10.070033659828397,1.77781288640238,7.067908330320673,1.0881813041131392
28,29.0,3.9080627555057936,1.6029023386318526,2.795408920677282,1.3712981226469505
29,30.0,5.6593156608697965,2.556128381025541,4.057587674809079,1.0372861867290428
30,31.0,7.533573923318329,2.016632989463537,5.401157591198327,1.1931603302948819
31,32.0,4.891342568743004,1.6626043024191308,3.493207889354378,1.176620468797025
32,33.0,4.008151900966967,1.5082729080674888,2.8054098888308268,1.1681375828921803
33,34.0,3.7482482294918325,2.0262498606219834,2.6364565313656914,1.2924723475798081
34,35.0,4.739142069800606,2.023858075878429,3.316980529556931,1.2475733134694933
35,36.0,3.838333539046346,1.6236526493055574,2.6326217329376234,1.0151720948889638
36,37.0,5.02434106684635,2.1904688688465868,3.5420671726991277,1.0687787519900285
37,38.0,8.076841587766621,2.492075883335617,5.628139188306819,1.146723120703673
38,39.0,10.990949977126741,2.451494121188514,7.6898745982721906,1.5275078702318394
39,40.0,9.23882665764185,1.6199434844638656,6.489374506779153,1.5018160342572902
40,41.0,4.689442326173942,1.8930150024267831,3.276881328669422,1.342732343978667
41,42.0,3.79855771995733,2.2751367449482696,2.640082735125254,0.9788847102378663
42,43.0,5.338119828700648,2.1681413740453306,3.735846880020165,1.4116087227876377
43,44.0,6.53479858371866,2.366979887658782,4.621254852878362,1.3147101602038933
44,45.0,6.093518575430436,2.3414376616153683,4.257839916532056,1.286364354346212
45,46.0,4.922859639739443,1.7950744022603955,3.486745643748073,1.5256927298258598
46,47.0,4.411816311682503,1.9638143223878668,3.145263183425328,1.1222751137738498
47,48.0,3.4842709588720004,1.3972017869425215,2.517852215039088,1.0190216111562798
48,49.0,3.92827342300953,1.9339914368067161,2.8297938120722215,1.2189666302930944
49,50.0,5.2369311424354175,2.303305827342787,3.7711320835205817,1.201652549869512
50,51.0,6.145057737162944,2.5558322069868002,4.437665501730397,1.2586503686847272
51,52.0,7.101571530818048,2.0967278153941,5.199797136523786,0.9749925368879074
52,53.0,8.29197431129669,2.253210920919811,5.941806438141694,1.2934438251906708
53,54.0,6.028273105131277,1.5369425798279535,4.28951489442147,1.1463354711519078
54,55.0,3.7303955032034786,1.7962687347669064,2.6255110949304097,1.2050350714097389
55,56.0,5.1153866007721,1.91432237014216,3.593858794520678,1.3339326532022886
56,57.0,4.172680226353481,1.4820649437687237,3.0196866317182245,0.8307225521778908
57,58.0,4.170169530504103,2.1425333307978405,3.0025406093280727,1.3618406254811994
58,59.0,4.579381030457245,1.6889572640938557,3.274951954776465,0.9670459865801123
59,60.0,8.804464259954509,2.411176086980303,6.3162051541443,1.525809360588071
60,61.0,10.98122866758124,2.5397568617707056,7.887014344591058,1.3171031410338225
61,62.0,7.340579057743208,1.735797902242447,5.190624474767739,1.248499402385262
62,63.0,2.6624395543409913,1.856316903282189,1.8355972963338252,0.9742413379218711
63,64.0,3.8349172395708213,2.1015667419433366,2.721174311425845,0.9222158906277557
64,65.0,2.7746294631031856,1.3047436674633266,1.984290523462419,1.0370540544224076
65,66.0,2.305597137761129,2.0473074636795237,1.698435333193107,1.3570446016763202
66,67.0,4.427689298532865,1.682613937045308,3.158099843710954,0.9009712433646192
67,68.0,5.469691599630498,2.00127521839982,3.8782845485458495,1.0956016460391236
68,69.0,4.910044623026036,1.9013134536328506,3.5048615920998927,1.1940481086839683
69,70.0,4.686136490227605,1.8830124783960385,3.335882319379758,1.031548989154393
70,71.0,3.508827577448187,1.3838560417898595,2.4804499012650836,1.0061128489395028
71,72.0,2.4689148773266543,1.7714828646640568,1.7595745002340013,1.2786858541228576
72,73.0,3.7816705589931527,1.810852777284753,2.6744064231893296,1.495523156128419
73,74.0,4.378992875787907,2.001658450498963,3.0704958234868407,1.2320672258694374
74,75.0,4.129909640317736,1.5380390001993571,2.9786588975680015,1.2885222173863013
75,76.0,5.041642795983396,2.024421671367756,3.6558627225797653,1.2603362973895442
76,77.0,6.671793173582988,1.361476443048613,4.770048745967002,0.8809453616122284
77,78.0,5.372165416947733,2.097809692255034,3.845536592230473,1.0523126834981995
78,79.0,3.5100140525244417,1.7146359232377832,2.464692325692132,1.187415090316035
79,80.0,4.571056299675018,2.4264449785967,3.1287297907546328,1.4760677238094717
80,81.0,5.4566824616159115,1.9228056961121862,3.842119518993089,0.9740180233246596
81,82.0,3.1440343635561274,1.735923433394203,2.27544367339777,1.1929600968012026
82,83.0,4.759854210844626,2.338473205482455,3.4285029057095033,1.478113100386868
83,84.0,4.258286036345553,1.702903409727811,3.110088713995365,1.166786375863207
84,85.0,3.3790191578864834,2.098531018732611,2.4533843859765883,1.5302188448435146
85,86.0,3.327877331471155,1.7739102316905304,2.432753242459043,1.134083713018672
86,87.0,3.9022155205214286,1.79422022812218,2.7328295800339553,1.009153687040035
87,88.0,5.826859939624981,2.3476434444849255,4.060354021062029,1.2571978039191514
88,89.0,6.389350023424181,1.8191242167245407,4.502521355671297,1.1071198738861436
89,90.0,5.561411328939733,2.343475832264387,3.972324896865144,1.3070692555564816
90,91.0,4.031525477968765,1.9895489775447677,2.8944766636295802,1.326935147677484
91,92.0,4.462811528467964,2.2915332748497534,3.168671720095279,1.2182941301099943
92,93.0,7.607210469968258,2.500039204262629,5.333228257477103,1.1640229733312346
93,94.0,8.002718249788977,2.068035069879602,5.6340838150962425,1.0807786923134914
94,95.0,5.309290315882615,2.239409532287032,3.7202525901346704,1.2938281515568837
95,96.0,5.44811870321319,2.41906888294383,3.787610953675175,1.3219628103098515
96,97.0,4.030459803674995,1.5198784394647797,2.8239305399728285,0.9622082776451375
97,98.0,4.754465307306057,2.1958057299130544,3.3479071643935288,1.102790178975397
98,99.0,6.543403982605477,2.1756201942134346,4.6636052232771545,1.1879958049855277
99,100.0,5.877210727791993,2.228960376533309,4.224725357608825,1.1305829714185318
